strut_id,label,r_eq_med_um,r_eq_min_um,r_eq_cv,offset_max_vox,tilt_deg,bow_vox,aspect_med,empty_sections,gap_len,gap_interior,border_frac,iou,reachable,detour,geo_len_vox,span_vox
76,thick,496.86139,396.72900,0.17532,1.71485,1.65138,0.16277,1.51152,0.00000,0.00000,0.00000,0.16000,0.46421,1.00000,1.01058,56.15433,55.56631
77,thick,501.18201,403.46509,0.37300,2.33062,0.74494,0.14106,1.35367,0.00000,0.00000,0.00000,0.40000,0.46829,1.00000,0.99341,55.15433,55.52045
78,nominal,338.04181,306.25073,0.05770,1.50938,0.81530,0.20573,1.15767,0.00000,0.00000,0.00000,0.00000,0.55773,1.00000,0.99259,55.15433,55.56631
79,nominal,347.47736,336.44351,0.02951,1.31811,1.73764,0.25199,1.23676,0.00000,0.00000,0.00000,0.00000,0.64628,1.00000,1.01142,56.15433,55.52045
80,thick,493.59613,410.09061,0.19953,2.43088,0.54170,0.31406,1.23510,0.00000,0.00000,0.00000,0.20000,0.48907,1.00000,0.99634,55.15433,55.35720
81,nominal,419.19037,295.50174,0.27416,4.33726,12.16672,0.32916,1.37345,0.00000,0.00000,0.00000,0.28000,0.38415,1.00000,1.02174,56.42568,55.22502
82,nominal,412.71100,384.30655,0.04175,1.89500,0.42953,0.25071,1.54495,0.00000,0.00000,0.00000,0.00000,0.57904,1.00000,0.99872,55.15433,55.22502
83,nominal,375.79688,334.83755,0.06091,1.62102,0.58480,0.38717,1.31807,0.00000,0.00000,0.00000,0.00000,0.60618,1.00000,1.01440,56.15433,55.35720
84,nominal,407.45334,389.87650,0.06591,1.49723,1.21649,0.33718,1.45831,0.00000,0.00000,0.00000,0.00000,0.55631,1.00000,1.01440,56.15433,55.35720
85,thick,600.05457,478.06335,0.23436,2.88003,1.29229,0.12374,1.43198,0.00000,0.00000,0.00000,0.64000,0.43712,1.00000,1.00448,55.47217,55.22502
86,nominal,300.92422,268.75397,0.07441,0.89822,0.31468,0.24471,1.27115,0.00000,0.00000,0.00000,0.00000,0.60469,1.00000,0.99542,55.15433,55.40794
87,nominal,365.61865,350.56610,0.03235,1.33534,0.52409,0.16336,1.18017,0.00000,0.00000,0.00000,0.00000,0.55073,1.00000,1.01354,56.15433,55.40422
88,thick,617.75909,500.10538,0.23134,2.12683,2.16616,0.17202,1.32141,0.00000,0.00000,0.00000,0.48000,0.41752,1.00000,1.01440,56.15433,55.35720
89,nominal,345.92264,320.02161,0.06007,1.31745,1.38606,0.17534,1.21058,0.00000,0.00000,0.00000,0.00000,0.62086,1.00000,1.01928,56.47217,55.40422
