strut_id,label,r_eq_med_um,measurable
429,thick,520.0,0
430,nominal,321.6,1
431,nominal,280.4,1
432,thick,508.5,1
433,nominal,313.1,1
434,broken,350.5,1
435,nominal,425.4,0
436,nominal,339.5,1
437,nominal,316.5,1
438,nominal,353.5,1
439,nominal,422.9,0
440,thick,773.3,0
441,thick,981.4,0
442,thick,862.8,0
443,thick,802.0,0
444,nominal,358.1,1
445,nominal,358.1,1
446,nominal,333.1,1
447,nominal,334.7,1
448,thick,516.9,1
449,thick,537.3,0
450,nominal,421.6,1
451,thick,450.1,1
452,nominal,410.0,1
453,thick,494.5,1
454,nominal,347.4,1
455,nominal,361.1,1
456,thick,534.3,0
457,nominal,371.4,1
458,nominal,362.6,1
459,nominal,415.2,1
460,nominal,299.0,1
461,nominal,339.5,1
462,nominal,374.2,1
463,nominal,424.2,1
464,thick,953.6,0
465,thick,1017.5,0
466,thick,1012.2,0
467,thick,1017.5,0
468,thick,440.4,1
469,nominal,425.4,1
470,nominal,353.5,1
471,nominal,359.6,1
472,thick,568.5,0
473,thick,539.4,0
474,thick,454.8,1
475,nominal,365.5,1
476,thick,444.0,1
477,thick,521.1,0
478,nominal,311.4,1
479,nominal,358.1,1
480,thick,567.6,0
481,nominal,344.3,1
482,nominal,417.8,1
483,thick,535.3,0
484,nominal,297.2,1
485,nominal,362.6,1
486,nominal,369.9,1
487,thick,468.8,0
488,thick,1017.5,0
489,thick,1017.5,0
490,thick,1017.5,0
491,thick,1017.5,0
492,thick,522.1,0
493,thick,470.0,0
494,nominal,353.5,1
495,nominal,365.5,1
496,thick,656.5,0
497,thick,679.1,0
498,nominal,416.5,1
499,thick,466.5,0
500,thick,446.5,1
501,thick,599.0,0
502,nominal,302.6,1
503,nominal,345.8,1
504,thick,730.3,0
505,nominal,353.5,1
506,nominal,413.9,1
507,thick,489.1,0
508,nominal,295.4,1
509,nominal,347.4,1
510,nominal,339.5,1
511,thick,519.0,0
512,thick,1017.5,0
513,thick,1017.5,0
514,thick,1017.5,0
515,thick,1017.5,0
516,thick,672.7,0
517,thick,603.5,0
518,nominal,344.3,1
519,nominal,374.2,1
520,thick,808.0,0
521,thick,749.2,0
522,thick,439.2,1
523,nominal,393.9,1
524,thick,453.6,1
525,thick,701.7,0
526,nominal,304.4,1
527,nominal,355.0,1
528,thick,828.4,0
529,nominal,355.0,1
530,nominal,371.4,1
531,thick,700.9,0
532,nominal,314.8,1
533,nominal,313.1,1
534,nominal,352.0,1
535,thick,726.6,0
536,thick,1017.5,0
537,thick,1017.5,0
538,thick,1017.5,0
539,thick,1017.5,0
540,thick,775.4,0
541,thick,778.1,0
542,nominal,337.9,1
543,nominal,352.0,1
544,thick,825.8,0
545,thick,805.4,0
546,nominal,404.7,1
547,nominal,371.4,1
548,nominal,433.0,1
549,thick,813.3,0
550,nominal,321.6,1
551,nominal,344.3,1
552,thick,834.3,0
553,nominal,324.9,1
554,nominal,417.8,1
555,thick,826.5,0
556,nominal,326.6,1
557,nominal,324.9,1
558,nominal,329.9,1
559,thick,816.0,0
560,thick,1017.5,0
561,thick,1017.5,0
562,thick,1017.5,0
563,thick,1017.5,0
564,thick,766.3,0
565,thick,772.6,0
566,nominal,337.9,1
567,nominal,341.1,1
568,thick,834.9,0
569,thick,743.4,0
570,thick,444.0,0
571,nominal,434.2,1
572,nominal,433.0,1
573,thick,758.5,0
574,nominal,337.9,1
575,nominal,306.2,1
576,thick,845.2,0
577,nominal,291.7,1
578,nominal,410.0,1
579,thick,775.4,0
580,nominal,329.9,1
581,nominal,319.9,1
582,nominal,342.7,1
583,thick,818.6,0
584,thick,1017.5,0
585,thick,1017.5,0
586,thick,1017.5,0
587,thick,1017.5,0
588,thick,826.5,0
589,thick,789.1,0
590,nominal,341.1,1
591,nominal,352.0,1
592,thick,800.0,0
593,thick,776.1,0
594,nominal,399.3,1
595,nominal,424.2,0
596,thick,477.9,1
597,thick,835.6,0
598,nominal,321.6,1
599,nominal,286.2,1
600,thick,798.6,0
601,nominal,280.4,1
602,nominal,400.7,1
603,thick,745.6,0
604,nominal,334.7,1
605,nominal,336.3,1
606,nominal,336.3,1
607,thick,763.5,0
608,thick,1017.5,0
609,thick,1017.5,0
610,thick,1017.5,0
611,thick,1017.5,0
612,thick,773.3,0
613,thick,730.3,0
614,nominal,339.5,1
615,nominal,358.1,1
616,thick,702.5,0
617,thick,674.3,0
618,nominal,420.3,1
619,nominal,435.5,1
620,nominal,403.3,1
621,thick,713.1,0
622,nominal,314.8,1
623,nominal,284.3,1
624,thick,562.8,0
625,nominal,299.0,1
626,nominal,389.8,1
627,thick,672.7,0
628,nominal,326.6,1
629,nominal,333.1,1
630,nominal,350.5,1
631,thick,640.7,0
632,thick,1017.5,0
633,thick,892.3,0
634,thick,980.3,0
635,thick,1016.5,0
636,thick,489.1,0
637,thick,505.3,0
638,nominal,341.1,1
639,nominal,341.1,1
640,nominal,367.0,0
641,nominal,411.3,0
642,nominal,316.5,0
643,nominal,319.9,0
644,thick,575.1,0
645,thick,504.2,0
646,nominal,404.7,1
647,nominal,434.2,1
648,nominal,348.9,1
649,thick,570.4,0
650,nominal,326.6,1
651,nominal,289.9,1
652,thick,458.4,0
653,nominal,329.9,1
654,nominal,384.2,1
655,thick,463.0,0
656,nominal,329.9,1
657,nominal,336.3,1
658,nominal,358.1,1
659,thick,459.5,0
660,thick,760.6,0
661,thick,977.6,0
662,thick,864.1,0
663,thick,809.4,0
664,nominal,355.0,1
665,nominal,374.2,1
666,nominal,326.6,1
667,nominal,345.8,1
668,thick,483.5,1
669,thick,565.7,0
670,nominal,420.3,1
671,nominal,422.9,1
672,thick,437.9,1
673,thick,465.4,1
674,nominal,356.6,1
675,nominal,359.6,1
676,thick,495.6,0
677,nominal,355.0,1
678,nominal,400.7,1
679,thick,441.6,1
680,nominal,323.3,1
681,nominal,341.1,1
682,nominal,374.2,1
683,nominal,425.4,1
684,thick,955.3,0
685,thick,1017.5,0
686,thick,1016.5,0
687,thick,1014.9,0
688,nominal,412.6,1
689,thick,446.5,1
690,nominal,342.7,1
691,nominal,369.9,1
692,thick,576.1,0
693,thick,542.3,0
694,nominal,435.5,1
695,thick,457.2,1
696,thick,446.5,1
697,thick,503.2,0
698,nominal,336.3,1
699,nominal,353.5,1
700,thick,585.3,0
701,nominal,339.5,1
702,nominal,421.6,1
703,thick,489.1,0
704,nominal,331.5,1
705,nominal,364.0,1
706,nominal,372.8,1
707,thick,464.2,0
708,thick,1017.5,0
709,thick,1017.5,0
710,thick,1017.5,0
711,thick,1017.5,0
712,thick,502.1,0
713,thick,464.2,0
714,nominal,368.4,1
715,nominal,378.5,1
716,thick,572.3,0
717,thick,733.2,0
718,nominal,412.6,1
719,nominal,400.7,1
720,nominal,411.3,1
721,thick,561.9,0
722,nominal,345.8,1
723,nominal,341.1,1
724,thick,615.8,0
725,nominal,337.9,1
726,nominal,402.0,1
727,thick,599.9,0
728,nominal,313.1,1
729,nominal,339.5,1
730,nominal,364.0,1
731,thick,475.7,0
732,thick,1017.5,0
733,thick,1017.5,0
734,thick,1017.5,0
735,thick,1017.5,0
736,thick,622.8,0
737,thick,505.3,0
738,nominal,355.0,1
739,nominal,358.1,1
740,thick,779.5,0
741,thick,772.6,0
742,nominal,395.3,1
743,nominal,425.4,1
744,thick,447.7,1
745,thick,684.6,0
746,nominal,324.9,1
747,nominal,334.7,1
748,thick,793.2,0
749,nominal,339.5,1
750,nominal,408.7,1
751,thick,623.7,0
752,nominal,307.9,1
753,nominal,333.1,1
754,nominal,329.9,1
755,thick,598.1,0
756,thick,1017.5,0
757,thick,1017.5,0
758,thick,1017.5,0
759,thick,1017.5,0
760,thick,754.2,0
761,thick,496.7,0
762,nominal,345.8,1
763,nominal,347.4,1
764,thick,799.3,0
765,thick,793.2,0
766,nominal,396.6,1
767,nominal,424.2,1
768,thick,437.9,1
769,thick,742.0,0
770,nominal,334.7,1
771,nominal,324.9,1
772,thick,791.9,0
773,nominal,314.8,1
774,nominal,419.1,1
775,thick,739.8,0
776,nominal,331.5,1
777,nominal,328.2,1
778,nominal,355.0,1
779,thick,687.0,0
780,thick,1017.5,0
781,thick,1017.5,0
782,thick,1017.5,0
783,thick,1017.5,0
784,thick,722.9,0
785,thick,734.0,0
786,nominal,324.9,1
787,nominal,352.0,1
788,thick,819.9,0
789,thick,844.5,0
790,nominal,388.4,1
791,nominal,433.0,1
792,nominal,382.8,1
793,thick,737.6,0
794,nominal,324.9,1
795,nominal,313.1,1
796,thick,750.7,0
797,nominal,304.4,1
798,nominal,412.6,1
799,thick,722.1,0
800,nominal,324.9,1
801,nominal,329.9,1
802,nominal,328.2,1
803,thick,665.4,0
804,thick,1017.5,0
805,thick,1017.5,0
806,thick,1017.5,0
807,thick,1017.5,0
808,thick,757.8,0
809,thick,709.3,0
810,nominal,339.5,1
811,nominal,341.1,1
812,thick,792.5,0
813,thick,728.8,0
814,nominal,342.7,1
815,nominal,433.0,1
816,nominal,431.7,1
817,thick,790.5,0
818,nominal,314.8,1
819,nominal,299.0,1
820,thick,772.6,0
821,nominal,304.4,1
822,nominal,410.0,1
823,thick,742.7,0
824,nominal,326.6,1
825,nominal,348.9,1
826,nominal,339.5,1
827,thick,675.9,0
828,thick,1017.5,0
829,thick,1017.5,0
830,thick,1017.5,0
831,thick,1017.5,0
832,thick,711.6,0
833,thick,658.1,0
834,nominal,355.0,1
835,nominal,359.6,1
836,thick,798.0,0
837,thick,646.6,0
838,nominal,359.6,1
839,thick,440.4,1
840,nominal,406.0,1
841,thick,748.5,0
842,nominal,333.1,1
843,nominal,306.2,1
844,thick,533.3,0
845,nominal,318.2,1
846,nominal,337.9,0
847,thick,621.9,0
848,nominal,323.3,1
849,nominal,337.9,1
850,nominal,347.4,1
851,thick,498.9,0
852,thick,1017.5,0
853,thick,906.7,0
854,thick,985.3,0
855,thick,1017.5,0
856,nominal,433.0,0
857,thick,468.8,0
858,nominal,336.3,1
859,nominal,337.9,1
860,nominal,369.9,0
861,nominal,391.1,0
862,nominal,311.4,0
863,nominal,307.9,0
864,thick,497.8,0
865,thick,536.3,0
866,nominal,333.1,1
867,nominal,411.3,1
868,nominal,410.0,1
869,thick,494.5,0
870,nominal,321.6,1
871,nominal,313.1,1
872,thick,492.4,1
873,nominal,339.5,1
874,nominal,356.6,1
875,nominal,435.5,0
876,nominal,336.3,1
877,nominal,333.1,1
878,nominal,359.6,1
879,thick,437.9,0
880,thick,784.3,0
881,thick,942.2,0
882,thick,888.7,0
883,thick,806.0,0
884,nominal,365.5,1
885,nominal,364.0,1
886,nominal,333.1,1
887,nominal,341.1,1
888,thick,463.0,1
889,thick,500.0,0
890,nominal,416.5,1
891,nominal,428.0,1
892,nominal,431.7,1
893,nominal,433.0,1
894,nominal,364.0,1
895,nominal,345.8,1
896,thick,502.1,0
897,nominal,347.4,1
898,nominal,408.7,1
899,thick,440.4,1
900,nominal,356.6,1
901,nominal,380.0,1
902,nominal,385.6,1
903,nominal,419.1,1
904,thick,970.9,0
905,thick,1017.5,0
906,thick,1015.9,0
907,thick,1007.4,0
908,nominal,424.2,1
909,nominal,433.0,1
910,nominal,381.4,1
911,nominal,365.5,1
912,thick,597.2,0
913,thick,577.0,0
914,nominal,436.7,1
915,thick,457.2,1
916,thick,450.1,1
917,thick,534.3,0
918,nominal,339.5,1
919,nominal,337.9,1
920,thick,567.6,0
921,nominal,350.5,1
922,nominal,404.7,1
923,thick,456.0,0
924,nominal,358.1,1
925,nominal,368.4,1
926,nominal,372.8,1
927,thick,447.7,0
928,thick,1017.5,0
929,thick,1017.5,0
930,thick,1017.5,0
931,thick,1017.5,0
932,thick,477.9,0
933,thick,447.7,0
934,nominal,359.6,1
935,nominal,369.9,1
936,thick,599.9,0
937,thick,501.0,0
938,nominal,433.0,1
939,nominal,413.9,1
940,thick,442.8,1
941,thick,509.6,0
942,nominal,365.5,1
