strut_id,label,r_eq_med_um,measurable
450,nominal,424.3,1
451,thick,455.0,1
452,nominal,406.1,1
453,thick,492.5,1
454,nominal,347.5,1
455,nominal,358.2,1
456,thick,534.5,0
457,nominal,370.0,1
458,nominal,368.6,1
459,nominal,426.8,1
460,nominal,300.9,1
461,nominal,345.9,1
462,nominal,374.4,1
463,nominal,425.6,1
464,thick,944.2,0
465,thick,1017.8,0
466,thick,1009.9,0
467,thick,1017.8,0
468,thick,447.8,1
469,nominal,431.9,1
470,nominal,352.1,1
471,nominal,352.1,1
472,thick,564.9,0
473,thick,541.5,0
474,thick,446.6,1
475,nominal,370.0,1
476,thick,440.5,1
477,thick,516.0,0
478,nominal,311.5,1
479,nominal,358.2,1
480,thick,557.2,0
481,nominal,350.6,1
482,nominal,414.0,1
483,thick,475.8,0
484,nominal,299.1,1
485,nominal,361.2,1
486,nominal,371.5,1
487,thick,462.0,0
488,thick,1017.8,0
489,thick,1017.8,0
490,thick,1017.8,0
491,thick,1017.8,0
492,thick,513.9,0
493,thick,471.2,0
494,nominal,362.7,1
495,nominal,361.2,1
496,thick,647.6,0
497,thick,652.6,0
498,nominal,417.9,1
499,thick,456.1,1
500,thick,459.7,1
501,thick,611.6,0
502,nominal,299.1,1
503,nominal,344.4,1
504,thick,717.1,0
505,nominal,356.7,1
506,nominal,414.0,1
507,thick,493.6,0
508,nominal,297.3,1
509,nominal,353.6,1
510,nominal,336.4,1
511,thick,509.7,0
512,thick,1017.8,0
513,thick,1017.8,0
514,thick,1017.8,0
515,thick,1017.8,0
516,thick,657.5,0
517,thick,587.3,0
518,nominal,344.4,1
519,nominal,370.0,1
520,thick,789.4,0
521,thick,753.0,0
522,thick,440.5,1
523,nominal,374.4,1
524,thick,449.0,1
525,thick,691.1,0
526,nominal,302.7,1
527,nominal,347.5,1
528,thick,811.6,0
529,nominal,345.9,1
530,nominal,368.6,1
531,thick,680.1,0
532,nominal,314.9,1
533,nominal,318.3,1
534,nominal,352.1,1
535,thick,726.8,0
536,thick,1017.8,0
537,thick,1017.8,0
538,thick,1017.8,0
539,thick,1017.8,0
540,thick,751.6,0
541,thick,758.7,0
542,nominal,338.0,1
543,nominal,353.6,1
544,thick,808.9,0
545,thick,802.9,0
546,nominal,407.5,1
547,nominal,368.6,1
548,nominal,425.6,1
549,thick,813.6,0
550,nominal,325.0,1
551,nominal,341.2,1
552,thick,821.5,0
553,nominal,323.4,1
554,nominal,423.0,1
555,thick,812.9,0
556,nominal,326.7,1
557,nominal,316.6,1
558,nominal,331.6,1
559,thick,810.3,0
560,thick,1017.8,0
561,thick,1017.8,0
562,thick,1017.8,0
563,thick,1017.8,0
564,thick,743.7,0
565,thick,758.7,0
566,nominal,331.6,1
567,nominal,338.0,1
568,thick,814.9,0
569,thick,733.4,0
570,thick,442.9,0
571,nominal,435.6,1
572,nominal,435.6,1
573,thick,754.5,0
574,nominal,338.0,1
575,nominal,308.0,1
576,thick,824.8,0
577,nominal,295.5,1
578,nominal,410.1,1
579,thick,765.8,0
580,nominal,326.7,1
581,nominal,313.2,1
582,nominal,342.8,1
583,thick,814.9,0
584,thick,1017.8,0
585,thick,1017.8,0
586,thick,1017.8,0
587,thick,1017.8,0
588,thick,820.2,0
589,thick,779.8,0
590,nominal,339.6,1
591,nominal,352.1,1
592,thick,785.9,0
593,thick,753.0,0
594,nominal,402.1,1
595,nominal,431.9,1
596,thick,473.5,1
597,thick,841.6,0
598,nominal,326.7,1
599,nominal,286.2,1
600,thick,781.8,0
601,nominal,284.3,1
602,nominal,388.5,1
603,thick,738.6,0
604,nominal,333.2,1
605,nominal,339.6,1
606,nominal,333.2,1
607,thick,745.1,0
608,thick,1017.8,0
609,thick,1017.8,0
610,thick,1017.8,0
611,thick,1017.8,0
612,thick,753.0,0
613,thick,720.8,0
614,nominal,339.6,1
615,nominal,353.6,1
616,thick,684.8,0
617,thick,656.7,0
618,nominal,414.0,1
619,thick,439.3,1
620,nominal,398.1,1
621,thick,701.1,0
622,nominal,311.5,1
623,nominal,282.4,1
624,thick,564.9,0
625,nominal,295.5,1
626,nominal,396.7,1
627,thick,668.9,0
628,nominal,326.7,1
629,nominal,334.8,1
630,nominal,345.9,1
631,thick,616.0,0
632,thick,1017.8,0
633,thick,881.6,0
634,thick,980.6,0
635,thick,1015.7,0
636,thick,485.9,0
637,thick,499.0,0
638,nominal,347.5,1
639,nominal,336.4,1
640,nominal,362.7,0
641,nominal,404.8,0
642,nominal,318.3,0
643,nominal,318.3,0
644,thick,580.0,0
645,thick,485.9,0
646,nominal,406.1,1
647,nominal,433.1,1
648,nominal,347.5,1
649,thick,545.5,0
650,nominal,330.0,1
651,nominal,288.1,1
652,thick,456.1,0
653,nominal,326.7,1
654,nominal,382.9,1
655,thick,466.7,0
656,nominal,331.6,1
657,nominal,339.6,1
658,nominal,358.2,1
659,thick,453.8,1
660,thick,762.3,0
661,thick,962.3,0
662,thick,864.3,0
663,thick,805.6,0
664,nominal,356.7,1
665,nominal,374.4,1
666,nominal,326.7,1
667,nominal,345.9,1
668,thick,489.2,1
669,thick,558.2,0
670,nominal,414.0,1
671,nominal,420.5,1
672,nominal,431.9,1
673,thick,463.2,0
674,nominal,350.6,1
675,nominal,365.6,1
676,thick,497.9,1
677,nominal,364.1,1
678,nominal,394.0,1
679,nominal,436.8,1
680,nominal,326.7,1
681,nominal,342.8,1
682,nominal,378.7,1
683,nominal,431.9,1
684,thick,949.9,0
685,thick,1017.8,0
686,thick,1015.7,0
687,thick,1015.2,0
688,nominal,408.8,1
689,thick,455.0,1
690,nominal,339.6,1
691,nominal,371.5,1
692,thick,575.3,0
693,thick,535.5,0
694,thick,441.7,1
695,thick,455.0,1
696,nominal,428.1,1
697,thick,501.2,0
698,nominal,339.6,1
699,nominal,356.7,1
700,thick,582.7,0
701,nominal,334.8,1
702,nominal,429.4,1
703,thick,485.9,0
704,nominal,328.3,1
705,nominal,356.7,1
706,nominal,371.5,1
707,thick,456.1,1
708,thick,1017.8,0
709,thick,1017.8,0
710,thick,1017.8,0
711,thick,1017.8,0
712,thick,500.1,0
713,thick,458.5,0
714,nominal,358.2,1
715,nominal,377.2,1
716,thick,585.5,0
717,thick,733.4,0
718,nominal,410.1,1
719,nominal,399.4,1
720,nominal,410.1,1
721,thick,559.1,0
722,nominal,347.5,1
723,nominal,341.2,1
724,thick,602.7,0
725,nominal,334.8,1
726,nominal,394.0,1
